,Time,Heart Rate
0,00:00:10,73
1,00:00:20,74
2,00:00:25,77
3,00:00:30,79
4,00:00:45,76
5,00:00:50,74
6,00:00:55,73
7,00:01:05,74
8,00:01:15,75
9,00:01:25,74
10,00:01:30,72
11,00:01:35,69
12,00:01:45,70
13,00:01:50,71
14,00:01:55,72
15,00:02:05,71
16,00:02:20,72
17,00:02:25,74
18,00:02:30,75
19,00:02:35,74
20,00:02:40,75
21,00:02:45,76
22,00:02:50,79
23,00:02:55,78
24,00:03:05,81
25,00:03:10,83
26,00:03:15,85
27,00:03:25,84
28,00:03:30,85
29,00:03:40,85
30,00:03:55,85
31,00:04:10,87
32,00:04:15,87
33,00:04:25,83
34,00:04:30,82
35,00:04:40,81
36,00:04:55,81
37,00:05:00,80
38,00:05:15,78
39,00:05:20,77
40,00:05:30,78
41,00:05:35,79
42,00:05:40,79
43,00:05:50,80
44,00:06:05,79
45,00:06:10,78
46,00:06:15,76
47,00:06:30,76
48,00:06:35,77
49,00:06:50,76
50,00:06:55,75
51,00:07:00,71
52,00:07:05,67
53,00:07:15,66
54,00:07:20,67
55,00:07:35,67
56,00:07:45,69
57,00:07:55,68
58,00:08:05,69
59,00:08:10,71
60,00:08:15,70
61,00:08:20,69
62,00:08:25,70
63,00:08:35,72
64,00:08:45,73
65,00:09:00,73
66,00:09:05,74
67,00:09:20,74
68,00:09:30,75
69,00:09:40,76
70,00:09:55,75
71,00:10:05,75
72,00:10:10,76
73,00:10:15,74
74,00:10:25,75
75,00:10:30,74
76,00:10:45,73
77,00:10:55,73
78,00:11:00,71
79,00:11:05,70
80,00:11:20,70
81,00:11:35,70
82,00:11:45,69
83,00:11:50,68
84,00:12:05,68
85,00:12:20,68
86,00:12:30,74
87,00:12:35,75
88,00:12:50,75
89,00:12:55,78
90,00:13:00,79
91,00:13:10,78
92,00:13:15,77
93,00:13:20,76
94,00:13:35,76
95,00:13:40,75
96,00:13:45,72
97,00:13:50,71
98,00:13:55,70
99,00:14:00,69
100,00:14:06,68
101,00:14:11,67
102,00:14:26,68
103,00:14:41,69
104,00:14:56,70
105,00:15:11,71
106,00:15:21,72
107,00:15:36,72
108,00:15:51,74
109,00:15:56,77
110,00:16:01,82
111,00:16:06,81
112,00:16:11,80
113,00:16:21,79
114,00:16:36,78
115,00:16:46,79
116,00:16:51,77
117,00:16:56,70
118,00:17:01,68
119,00:17:06,67
120,00:17:11,66
121,00:17:26,68
122,00:17:31,72
123,00:17:36,75
124,00:17:41,76
125,00:17:56,75
126,00:18:01,74
127,00:18:06,73
128,00:18:21,73
129,00:18:31,72
130,00:18:36,71
131,00:18:51,70
132,00:18:56,69
133,00:19:06,68
134,00:19:11,67
135,00:19:26,67
136,00:19:36,68
137,00:19:51,69
138,00:20:06,68
139,00:20:11,67
140,00:20:16,66
141,00:20:26,65
142,00:20:31,64
143,00:20:36,63
144,00:20:41,65
145,00:20:46,66
146,00:21:01,66
147,00:21:06,67
148,00:21:11,68
149,00:21:21,69
150,00:21:26,70
151,00:21:31,73
152,00:21:36,76
153,00:21:41,79
