,Time,State,Interpreted
0,04:08:00,2,Awake
1,04:09:00,1,Asleep
2,04:10:00,1,Asleep
3,04:11:00,2,Awake
4,04:12:00,1,Asleep
5,04:13:00,2,Awake
6,04:14:00,1,Asleep
7,04:15:00,1,Asleep
8,04:16:00,1,Asleep
9,04:17:00,1,Asleep
10,04:18:00,1,Asleep
11,04:19:00,1,Asleep
12,04:20:00,1,Asleep
13,04:21:00,1,Asleep
14,04:22:00,1,Asleep
15,04:23:00,1,Asleep
16,04:24:00,1,Asleep
17,04:25:00,1,Asleep
18,04:26:00,1,Asleep
19,04:27:00,1,Asleep
20,04:28:00,1,Asleep
21,04:29:00,1,Asleep
22,04:30:00,1,Asleep
23,04:31:00,1,Asleep
24,04:32:00,1,Asleep
25,04:33:00,1,Asleep
26,04:34:00,1,Asleep
27,04:35:00,1,Asleep
28,04:36:00,1,Asleep
29,04:37:00,1,Asleep
30,04:38:00,1,Asleep
31,04:39:00,1,Asleep
32,04:40:00,1,Asleep
33,04:41:00,1,Asleep
34,04:42:00,1,Asleep
35,04:43:00,1,Asleep
36,04:44:00,1,Asleep
37,04:45:00,1,Asleep
38,04:46:00,1,Asleep
39,04:47:00,1,Asleep
40,04:48:00,1,Asleep
41,04:49:00,1,Asleep
42,04:50:00,1,Asleep
43,04:51:00,1,Asleep
44,04:52:00,1,Asleep
45,04:53:00,1,Asleep
46,04:54:00,1,Asleep
47,04:55:00,1,Asleep
48,04:56:00,1,Asleep
49,04:57:00,1,Asleep
50,04:58:00,1,Asleep
51,04:59:00,1,Asleep
52,05:00:00,1,Asleep
53,05:01:00,1,Asleep
54,05:02:00,1,Asleep
55,05:03:00,1,Asleep
56,05:04:00,1,Asleep
57,05:05:00,1,Asleep
58,05:06:00,1,Asleep
59,05:07:00,1,Asleep
60,05:08:00,1,Asleep
61,05:09:00,1,Asleep
62,05:10:00,1,Asleep
63,05:11:00,1,Asleep
64,05:12:00,1,Asleep
65,05:13:00,1,Asleep
66,05:14:00,1,Asleep
67,05:15:00,1,Asleep
68,05:16:00,1,Asleep
69,05:17:00,1,Asleep
70,05:18:00,1,Asleep
71,05:19:00,1,Asleep
72,05:20:00,1,Asleep
73,05:21:00,1,Asleep
74,05:22:00,1,Asleep
75,05:23:00,1,Asleep
76,05:24:00,1,Asleep
77,05:25:00,1,Asleep
78,05:26:00,1,Asleep
79,05:27:00,1,Asleep
80,05:28:00,1,Asleep
81,05:29:00,1,Asleep
82,05:30:00,1,Asleep
83,05:31:00,1,Asleep
84,05:32:00,1,Asleep
85,05:33:00,1,Asleep
86,05:34:00,1,Asleep
87,05:35:00,1,Asleep
88,05:36:00,1,Asleep
89,05:37:00,1,Asleep
90,05:38:00,1,Asleep
91,05:39:00,1,Asleep
92,05:40:00,1,Asleep
93,05:41:00,1,Asleep
94,05:42:00,1,Asleep
95,05:43:00,1,Asleep
96,05:44:00,1,Asleep
97,05:45:00,1,Asleep
98,05:46:00,1,Asleep
99,05:47:00,1,Asleep
100,05:48:00,1,Asleep
101,05:49:00,1,Asleep
102,05:50:00,1,Asleep
103,05:51:00,1,Asleep
104,05:52:00,1,Asleep
105,05:53:00,1,Asleep
106,05:54:00,1,Asleep
107,05:55:00,1,Asleep
108,05:56:00,1,Asleep
109,05:57:00,1,Asleep
110,05:58:00,1,Asleep
111,05:59:00,1,Asleep
112,06:00:00,1,Asleep
113,06:01:00,1,Asleep
114,06:02:00,1,Asleep
115,06:03:00,1,Asleep
116,06:04:00,1,Asleep
117,06:05:00,1,Asleep
118,06:06:00,1,Asleep
119,06:07:00,1,Asleep
120,06:08:00,1,Asleep
121,06:09:00,1,Asleep
122,06:10:00,1,Asleep
123,06:11:00,1,Asleep
124,06:12:00,1,Asleep
125,06:13:00,1,Asleep
126,06:14:00,1,Asleep
127,06:15:00,1,Asleep
128,06:16:00,1,Asleep
129,06:17:00,1,Asleep
130,06:18:00,1,Asleep
131,06:19:00,1,Asleep
132,06:20:00,1,Asleep
133,06:21:00,1,Asleep
134,06:22:00,1,Asleep
135,06:23:00,1,Asleep
136,06:24:00,1,Asleep
137,06:25:00,1,Asleep
138,06:26:00,1,Asleep
139,06:27:00,1,Asleep
140,06:28:00,1,Asleep
